"ImageNumber","FileName_colorimage","AreaShape_Area","AreaShape_HuMoment_2","AreaShape_InertiaTensor_0_0","AreaShape_Solidity","Intensity_IntegratedIntensity_DNA","Intensity_IntegratedIntensity_H2AX","Intensity_MADIntensity_DNA","Intensity_MassDisplacement_DNA","Intensity_MassDisplacement_H2AX","Intensity_MassDisplacement_Ki67","Intensity_MaxIntensity_H2AX","Intensity_MinIntensityEdge_DNA","Intensity_MinIntensityEdge_H2AX","Intensity_MinIntensity_Ki67","Intensity_StdIntensityEdge_DNA","Intensity_StdIntensityEdge_Ki67","Intensity_StdIntensity_Ki67"
66,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2161.png",857,8.89e-05,58.36274813,0.974971559,195.8470644,43.59608023,0.066666678,0.406247115,0.089258982,0.642275303,0.086274512,0,0,0,0,0,0.031941733
67,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2165.png",805,8.01e-05,72.6386482,0.976941748,192.6117697,49.27451131,0.074509799,0.311578179,0.112288066,0.667590577,0.121568628,0,0,0,0,0,0.043042936
68,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2170.png",687,9.46e-07,35.67560158,0.966244726,160.7019652,37.50588375,0.062745094,0.264482036,0.221291289,0.276743821,0.105882354,0,0,0,0,0,0.050826031
69,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_218.png",909,9.58e-06,64.21001814,0.970117396,230.4745153,59.25490364,0.076470599,0.333963056,0.58871964,1.142756199,0.152941182,0,0,0,0,0,0.037274578
70,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2199.png",1152,0.001680687,106.3873427,0.947368421,272.9215748,82.29411968,0.094117641,2.270928772,1.262013529,3.877914373,0.180392161,0,0,0,0,0,0.084850623
71,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2205.png",627,2.1e-05,48.74848714,0.976635514,104.6980418,28.46666768,0.039215699,0.231127739,0.077801891,0.865764696,0.090196081,0,0,0,0,0,0.044745216
72,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2208.png",1474,0.000157614,100.6770895,0.971014493,328.3960891,124.6196113,0.047058836,0.581041172,1.314139459,0.046054684,0.192156866,0,0,0,0,0,0.047543689
73,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2215.png",600,1.22e-05,45.30012222,0.96,135.2078467,31.8862757,0.082352951,0.581763638,0.183139585,0.11040067,0.101960786,0,0,0,0,0,0.03059142
74,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2216.png",944,6.21e-05,105.4365652,0.968205128,199.317653,55.92157061,0.062745094,0.611697528,0.244845604,1.677268872,0.109803922,0,0,0,0,0,0.076253918
75,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2217.png",963,1.27e-05,96.70123759,0.975683891,219.6745159,65.152943,0.066666678,0.380219301,0.472674387,1.113323515,0.168627456,0,0,0,0,0,0.048416745
76,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2226.png",811,2.1e-05,58.5808846,0.96778043,167.1529464,37.13333452,0.058823541,0.241476807,0.249339428,1.220168455,0.082352944,0,0,0,0,0,0.053847567
77,"Plate616215_WellC03_yH2AX_KI67_Seq0000_C03_0000_W1 - UV_FilterNuclei_2240.png",941,0.000190248,48.80279532,0.964139344,204.741183,64.43529566,0.054901972,0.291081782,0.424209209,0.75279702,0.149019614,0,0,0,0,0,0.058419069
